Index,Date Created,Radiation(uSv/h)
260,17/6/2023,30798.97468
261,18/6/2023,33034.80516
262,19/6/2023,35106.82052
263,20/6/2023,30733.4717
264,21/6/2023,28176.01579
265,22/6/2023,30750.22962
266,23/6/2023,27754.71475
267,24/6/2023,30232.16103
268,25/6/2023,27634.6486
269,26/6/2023,33750.02271
270,27/6/2023,41147.95589
271,28/6/2023,38295.99751
272,29/6/2023,35142.29898
273,30/6/2023,33045.62822
274,1/7/2023,31308.9856
275,2/7/2023,40562.481
276,3/7/2023,0
277,4/7/2023,28147.54084
278,5/7/2023,27709.10615
279,6/7/2023,35965.80283
280,7/7/2023,29162.96262
281,8/7/2023,26474.50615
282,9/7/2023,30818.5857
283,10/7/2023,30285.10233
284,11/7/2023,0
285,12/7/2023,0
286,13/7/2023,0
287,14/7/2023,0
288,15/7/2023,0
289,16/7/2023,0
290,17/7/2023,17715.5387
291,18/7/2023,31727.37155
292,19/7/2023,35473.21248
293,20/7/2023,52445.44239
294,21/7/2023,23529.0593
295,22/7/2023,29720.83863
296,23/7/2023,30891.3922
297,24/7/2023,34399.40345
298,25/7/2023,35392.11
299,26/7/2023,33899.98328
300,27/7/2023,33946.23444
301,28/7/2023,38825.29127
302,29/7/2023,25112.33382
303,30/7/2023,31230.06465
304,31/7/2023,28939.94163
305,1/8/2023,28551.94783
306,2/8/2023,38571.17219
307,3/8/2023,31407.0502
308,4/8/2023,31288.9828
309,5/8/2023,27120.94113
310,6/8/2023,29425.19833
311,7/8/2023,42929.68839
312,8/8/2023,31418.33399
313,9/8/2023,36140.2045
314,10/8/2023,35776.4194
315,11/8/2023,32115.8752
316,12/8/2023,22411.7153
317,13/8/2023,29722.81328
318,14/8/2023,30161.5947
319,15/8/2023,37323.85353
320,16/8/2023,23157.66879
321,17/8/2023,39212.39266
322,18/8/2023,23882.15005
323,19/8/2023,26218.0908
324,20/8/2023,29453.98338
325,21/8/2023,30608.20257
326,22/8/2023,34436.43545
327,23/8/2023,36699.51298
328,24/8/2023,6669.2
329,25/8/2023,23247.41181
330,26/8/2023,22453.77446
331,27/8/2023,30215.8711
332,28/8/2023,26296.50903
333,29/8/2023,38228.68933
334,30/8/2023,35946.82516
335,31/8/2023,29850.82945
336,1/9/2023,50119.09192
337,2/9/2023,34855.99375
338,3/9/2023,0
339,4/9/2023,28825.65
340,5/9/2023,34760.19369
341,6/9/2023,37906.68131
342,7/9/2023,32458.14727
343,8/9/2023,43125.59893
344,9/9/2023,24137.28092
345,10/9/2023,27836.23965
346,11/9/2023,30993.89065
347,12/9/2023,29790.11556
348,13/9/2023,42992.84471
349,14/9/2023,29018.88903
350,15/9/2023,32331.98917
351,16/9/2023,24387.07534
352,17/9/2023,24734.1623
353,18/9/2023,36917.10065
354,19/9/2023,26044.1332
355,20/9/2023,32424.12778
356,21/9/2023,28905.03968
357,22/9/2023,24068.65128
358,23/9/2023,27219.89185
359,24/9/2023,34355.09155
360,25/9/2023,41505.94329
361,26/9/2023,31592.47594
362,27/9/2023,40218.13216
363,28/9/2023,32993.43757
364,29/9/2023,28321.01452
365,30/9/2023,32961.84825
366,1/10/2023,23628.44761
367,2/10/2023,27835.02571
368,3/10/2023,32783.63776
369,4/10/2023,38301.67551
370,5/10/2023,41709.45304
371,6/10/2023,29181.90273
372,7/10/2023,30833.81895
373,8/10/2023,22444.7156
374,9/10/2023,40170.5131
375,10/10/2023,38232.15923
376,11/10/2023,37402.0763
377,12/10/2023,31695.88198
378,13/10/2023,29834.34658
379,14/10/2023,29013.8016
380,15/10/2023,23916.9609
381,16/10/2023,23834.96948
382,17/10/2023,36907.2549
383,18/10/2023,27735.37218
384,19/10/2023,30123.45302
385,20/10/2023,25231.55673
386,21/10/2023,30733.40414
387,22/10/2023,25488.01953
388,23/10/2023,33512.109
389,24/10/2023,35336.93375
390,25/10/2023,31504.52649
391,26/10/2023,26985.67542
392,27/10/2023,23300.06235
393,28/10/2023,35169.65889
394,29/10/2023,38525.7361
395,30/10/2023,29051.79145
396,31/10/2023,33505.42761
397,1/11/2023,29897.03905
398,2/11/2023,37350.52035
399,3/11/2023,33653.00351
400,4/11/2023,27075.18899
401,5/11/2023,27246.01151
402,6/11/2023,32529.77203
403,7/11/2023,38649.49258
404,8/11/2023,31090.02095
405,9/11/2023,32345.10112
406,10/11/2023,32921.00599
407,11/11/2023,34144.9104
408,12/11/2023,32874.6193
409,13/11/2023,33687.13788
410,14/11/2023,25512.69724
411,15/11/2023,37942.76068
412,16/11/2023,36318.65445
413,17/11/2023,38313.27545
414,18/11/2023,27014.97005
415,19/11/2023,25336.44405
416,20/11/2023,34225.94043
417,21/11/2023,25923.00123
418,22/11/2023,28479.01494
419,23/11/2023,38892.89778
420,24/11/2023,36174.79765
421,25/11/2023,30563.79942
422,26/11/2023,26732.13522
423,27/11/2023,32584.6387
424,28/11/2023,34376.65713
425,29/11/2023,38771.9499
426,30/11/2023,29110.67207
427,1/12/2023,40113.87825
428,2/12/2023,22943.273
429,3/12/2023,21310.00237
430,4/12/2023,32541.86655
431,5/12/2023,32792.3294
432,6/12/2023,32211.95057
433,7/12/2023,34815.66371
434,8/12/2023,29248.43882
435,9/12/2023,33547.98283
436,10/12/2023,28413.7647
437,11/12/2023,24714.06087
438,12/12/2023,28100.78454
439,13/12/2023,39627.45355
440,14/12/2023,44682.40481
441,15/12/2023,20884.95776
442,16/12/2023,29091.86278
443,17/12/2023,31581.16292
444,18/12/2023,33510.09748
445,19/12/2023,31257.65873
446,20/12/2023,29337.95601
447,21/12/2023,27437.11329
448,22/12/2023,30020.96005
449,23/12/2023,28252.50435
450,24/12/2023,46415.46928
451,25/12/2023,29002.51228
452,26/12/2023,30301.04541
453,27/12/2023,33312.64563
454,28/12/2023,25969.09028
455,29/12/2023,27598.39025
456,30/12/2023,26851.65218
457,31/12/2023,34047.11263
