Index,Date Created,Radiation(uSv/h)
313,9/8/2023,0.048771038
314,10/8/2023,0.045091557
315,11/8/2023,0.008067221
316,12/8/2023,-0.090084874
317,13/8/2023,-0.016137248
318,14/8/2023,-0.011699222
319,15/8/2023,0.060742979
320,16/8/2023,-0.082539976
321,17/8/2023,0.079844486
322,18/8/2023,-0.075212257
323,19/8/2023,-0.051585536
324,20/8/2023,-0.018856311
325,21/8/2023,-0.007182036
326,22/8/2023,0.031538377
327,23/8/2023,0.054428127
328,24/8/2023,-0.249311522
329,25/8/2023,-0.081632276
330,26/8/2023,-0.089659469
331,27/8/2023,-0.011150247
332,28/8/2023,-0.05079238
333,29/8/2023,0.069894882
334,30/8/2023,0.046815115
335,31/8/2023,-0.014842437
336,1/9/2023,0.176848768
337,2/9/2023,0.022380493
338,3/9/2023,0
339,4/9/2023,-0.038648846
340,5/9/2023,0.021410961
341,6/9/2023,0.053254595
342,7/9/2023,-0.001886612
343,8/9/2023,0.106071997
344,9/9/2023,-0.086096898
345,10/9/2023,-0.04866205
346,11/9/2023,-0.016705438
347,12/9/2023,-0.028888093
348,13/9/2023,0.104728475
349,14/9/2023,-0.036693195
350,15/9/2023,-0.003163379
351,16/9/2023,-0.083568885
352,17/9/2023,-0.080056235
353,18/9/2023,0.043239668
354,19/9/2023,-0.066798839
355,20/9/2023,-0.002230902
356,21/9/2023,-0.037845393
357,22/9/2023,-0.086791456
358,23/9/2023,-0.05489972
359,24/9/2023,0.017311175
360,25/9/2023,0.089680475
361,26/9/2023,-0.01064753
362,27/9/2023,0.076647344
363,28/9/2023,0.003530726
364,29/9/2023,-0.043755946
365,30/9/2023,0.003211031
366,1/10/2023,-0.077725923
367,2/10/2023,-0.033687377
368,3/10/2023,0.018119502
369,4/10/2023,0.075887683
370,5/10/2023,0.111563609
371,6/10/2023,-0.01958696
372,7/10/2023,-0.002293096
373,8/10/2023,-0.09011838
374,9/10/2023,0.09545249
375,10/10/2023,0.075159919
376,11/10/2023,0.066469804
377,12/10/2023,0.006731818
378,13/10/2023,-0.012756544
379,14/10/2023,-0.021346806
380,15/10/2023,-0.074705486
381,16/10/2023,-0.075563852
382,17/10/2023,0.061289533
383,18/10/2023,-0.034730647
384,19/10/2023,-0.009729896
385,20/10/2023,-0.06094302
386,21/10/2023,-0.003344335
387,22/10/2023,-0.058258118
388,23/10/2023,0.025745847
389,24/10/2023,0.044849885
390,25/10/2023,0.004728523
391,26/10/2023,-0.042579201
392,27/10/2023,-0.081163779
393,28/10/2023,0.04309869
394,29/10/2023,0.078233366
395,30/10/2023,-0.020949091
396,31/10/2023,0.0256759
397,1/11/2023,-0.024610897
398,2/11/2023,0.050615435
399,3/11/2023,0.013297218
400,4/11/2023,-0.053091203
401,5/11/2023,-0.051367129
402,6/11/2023,0.001960692
403,7/11/2023,0.063725673
404,8/11/2023,-0.012570396
405,9/11/2023,9.68E-05
406,10/11/2023,0.00590933
407,11/11/2023,0.018261925
408,12/11/2023,0.005441159
409,13/11/2023,0.013641729
410,14/11/2023,-0.068861085
411,15/11/2023,0.056592785
412,16/11/2023,0.040201041
413,17/11/2023,0.060332308
414,18/11/2023,-0.053698979
415,19/11/2023,-0.07063997
416,20/11/2023,0.019079743
417,21/11/2023,-0.064719978
418,22/11/2023,-0.0389227
419,23/11/2023,0.066182308
420,24/11/2023,0.038749127
421,25/11/2023,-0.017881433
422,26/11/2023,-0.056553569
423,27/11/2023,0.00251445
424,28/11/2023,0.020600894
425,29/11/2023,0.064961608
426,30/11/2023,-0.032547524
427,1/12/2023,0.100354107
428,2/12/2023,-0.085923228
429,3/12/2023,-0.103641956
430,4/12/2023,0.018208246
431,5/12/2023,0.020925422
432,6/12/2023,0.014629114
433,7/12/2023,0.042875802
434,8/12/2023,-0.017520893
435,9/12/2023,0.029123217
436,10/12/2023,-0.026575954
437,11/12/2023,-0.066712627
438,12/12/2023,-0.029971356
439,13/12/2023,0.095077072
440,14/12/2023,0.149916306
441,15/12/2023,-0.108253103
442,16/12/2023,-0.019219527
443,17/12/2023,0.007785939
444,18/12/2023,0.028712213
445,19/12/2023,0.004276366
446,20/12/2023,-0.016549755
447,21/12/2023,-0.037171271
448,22/12/2023,-0.009140105
449,23/12/2023,-0.028325405
450,24/12/2023,0.16871766
451,25/12/2023,-0.020188856
452,26/12/2023,-0.006101566
453,27/12/2023,0.026570134
454,28/12/2023,-0.053097292
455,29/12/2023,-0.035421639
456,30/12/2023,-0.043522715
457,31/12/2023,0.034538085
